"","Active Ingredient","Country","group","IS_Air_emission","IS_Agr_soil_emission_field","IS_Freshwater_emission_offField","IS_Nat_soil_emission_offField","IS_Agr_soil_emission_offField","UnitIS_Air_emission","UnitIS_Agr_soil_emission_field","UnitIS_Freshwater_emission_offField","UnitIS_Nat_soil_emission_offField","UnitIS_Agr_soil_emission_offField","AnnualIS_Air_emission","AnnualIS_Agr_soil_emission_field","AnnualIS_Freshwater_emission_offField","AnnualIS_Nat_soil_emission_offField","AnnualIS_Agr_soil_emission_offField","sumIS","sumIS_drift","IS_Air_emission_drift","IS_Agr_soil_emission_field_drift","IS_Agr_soil_emission_offField_drift","IS_Freshwater_emission_offField_drift","IS_Nat_soil_emission_offField_drift","sumUnitIS","sumUnitIS_drift","UnitIS_Air_emission_drift","UnitIS_Agr_soil_emission_field_drift","UnitIS_Agr_soil_emission_offField_drift","UnitIS_Freshwater_emission_offField_drift","UnitIS_Nat_soil_emission_offField_drift","sumAnnualIS","sumAnnualIS_drift","AnnualIS_Air_emission_drift","AnnualIS_Agr_soil_emission_field_drift","AnnualIS_Agr_soil_emission_offField_drift","AnnualIS_Freshwater_emission_offField_drift","AnnualIS_Nat_soil_emission_offField_drift"
"30","DIURON","SPAIN","90% drift - refined",551.3293076,3868.30582461805,20.2075842463236,58.340013547594,64.2494419801636,721.544512711194,5062.59109168733,26.4463929761966,76.351675970224,84.0855576993514,35320360.7620864,247819144.348331,1294578.67715647,3737494.62791306,4116076.2510172,4562.43217199213,-354.02202440787,0,931.15133361805,-578.244977819836,-181.868258253676,-525.060121952406,5971.01923104429,-463.321368499705,-6.40636699245078e-09,1218.63127141533,-756.770019233448,-238.017536811003,-687.165083864176,292287654.666504,-22680066.9534962,0.00208640098571777,59653279.0483307,-37044686.2589828,-11651208.0928435,-33637451.6520869
"31","GLYPHOSATE","BRAZIL","original method",0.645762104362626,0.0451422974818811,0.0718008034860212,0.000755655497913584,8.54698271977416e-05,1.09781030174151,0.0784476620784353,0.122066443944149,0.00128466857136781,0.000145383526717189,16574051.042705,1171588.99865449,1842850.0205343,19394.772917526,2194.880821088,0.763546330655639,0.763546330655639,0.645762104362626,0.0451422974818811,8.54698271977416e-05,0.0718008034860212,0.000755655497913584,1.29975445986218,1.29975445986218,1.09781030174151,0.0784476620784353,0.000145383526717189,0.122066443944149,0.00128466857136781,19610079.7156324,19610079.7156324,16574051.042705,1171588.99865449,2194.880821088,1842850.0205343,19394.772917526
"32","GLYPHOSATE","BRAZIL","refined method - original",0.645762104362626,0.0446023147159759,0.128921980675536,0.0010286417122511,0.000406325477602137,1.10388320019667,0.0780354232860802,0.219989436360695,0.00175525008038209,0.000693343836716789,16653219.497102,1164509.08713492,3319658.8995265,26486.869967672,10462.617074271,0.820721366943991,0.0571750362883514,0,-0.000539982765905216,0.000320855650404395,0.0571211771895146,0.000272986214337511,1.40435665376054,0.104602193898366,0.00607289845516101,-0.00041223879235508,0.0005479603099996,0.097922992416546,0.000470581509014275,21174336.9708054,1564257.25517296,79168.4543970004,-7079.91151957004,8267.736253183,1476808.8789922,7092.097050146
"33","GLYPHOSATE","BRAZIL","50% drift - refined",0.645762104662721,0.0452535984130091,0.0644609901015274,0.000514320874909379,0.000203162637155162,1.0978103016934,0.0786411099493272,0.109579429607366,0.000874311549030886,0.000345363077140562,16574051.0416605,1174477.74838989,1654415.59942255,13200.2390471903,5214.24563290036,0.756194176689322,-0.0645271902546691,3.00094948890717e-10,0.000651283697033184,-0.000203162840446975,-0.0644609905740084,-0.000514320837341717,1.28725051587626,-0.117106137884283,-0.00607289850327342,0.000605686663246993,-0.000347980759576226,-0.110410006753329,-0.000880938531351199,19421358.874153,-1752978.09665234,-79168.455441514,9968.66125497431,-5248.37144137064,-1665243.30010395,-13286.6309204817
"34","GLYPHOSATE","BRAZIL","75% drift - refined",0.645762104662721,0.045579240064687,0.0322304950507637,0.000257160437454689,0.000101581318577581,1.0978103016934,0.0792069642993659,0.0547897148036829,0.000437155774515443,0.000172681538570281,16574051.0416605,1182929.04060465,827207.799711275,6600.11952359516,2607.12281645018,0.723930581534204,-0.0967907854097869,3.00094948890717e-10,0.000976925348711147,-0.000304744159024556,-0.0966914856247721,-0.000771481274796406,1.23241681810953,-0.171939835651013,-0.00607289850327342,NA,-0.000520662298146507,-0.165199721557012,-0.00131809430586664,18593395.1243165,-2580941.84648891,-79168.455441514,18419.953469727,-7855.49425782082,-2492451.09981523,-19886.7504440768
"35","GLYPHOSATE","BRAZIL","90% drift - refined",0.645762104662721,0.045579240064687,0.0128921980203055,0.000102864174981876,4.06325274310323e-05,1.0978103016934,0.0792069642993659,0.0219158859214732,0.000174862309806177,6.90726154281124e-05,16574051.0416605,1182929.04060465,330883.11988451,2640.04780943806,1042.84912658007,0.704377039450126,-0.116344327493865,3.00094948890717e-10,0.000976925348711147,-0.000365692950171105,-0.11602978265523,-0.00092577753726922,1.19917708683947,-0.205179566921074,-0.00607289850327342,0.0011715410132857,-0.000624271221288676,-0.198073550439222,-0.00158038777057591,18091546.0990857,-3082790.8717197,-79168.455441514,18419.953469727,-9419.76794769093,-2988775.77964199,-23846.8221582339
"36","GLYPHOSATE","SPAIN","original method",0.646069092,0.05062608,0.064147126,0.000757535,8.55e-05,1.63234550031942,0.127910859183101,0.162072870561633,0.00191397371818162,0.000216141620740656,1122565.722,87964.43326,111457.6844,1316.241236,148.6403703,0.761685333,0.761685333,0.646069092,0.05062608,8.55e-05,0.064147126,0.000757535,1.92445934540308,1.92445934540308,1.63234550031942,0.127910859183101,0.000216141620740656,0.162072870561633,0.00191397371818162,1323452.7212663,1323452.7212663,1122565.722,87964.43326,148.6403703,111457.6844,1316.241236
"37","GLYPHOSATE","SPAIN","refined method - original",0.646069092,0.036185808,0.919558924,0.007197518,0.007915545,1.63234550031942,0.091426352610241,2.32333954685907,0.0181851067891852,0.0199992617007918,1122565.722,62873.9994,1597763.057,12505.91763,13753.51344,1.616926887,0.855241554,0,-0.014440272,0.007830045,0.855411798,0.006439983,4.08529576827871,2.16083642287563,0,-0.0364845065728603,0.0197831200800511,2.16126667629743,0.0162711330710036,2809462.20947,1486009.4882037,0,-25090.43386,13604.8730697,1486305.3726,11189.676394
"38","GLYPHOSATE","SPAIN","50% drift - refined",0.6460690923,0.043833678036,0.459779461974,0.00359875895279663,0.00395777270637,1.63234550044548,0.110749311432492,1.16166977324153,0.00909255380546464,0.00999963091568091,1122565.72241262,76162.4182876647,798881.528357751,6252.95884261113,6876.75672806858,1.15723876396917,-0.459688123030833,3.00000024822111e-10,0.007647870036,-0.00395777229363,-0.459779462026,-0.00359875904720337,2.92385676984064,-1.16143899843807,1.26053167903706e-10,0.0193229588222513,-0.00999963078511086,-1.16166977361754,-0.00909255298372059,2010739.38462871,-798722.824841286,0.000412618741393089,13288.4188876647,-6876.75671193142,-798881.52864225,-6252.95878738887
"39","GLYPHOSATE","SPAIN","75% drift - refined",0.6460690923,0.047657613018,0.229889730987,0.00179937947639832,0.001978886353185,1.63234550044548,0.120410790578078,0.580834886620764,0.00454627690273232,0.00499981545784046,1122565.72241262,82806.6276867648,399440.764178875,3126.47942130556,3438.37836403429,0.927394702134583,-0.689532184865417,3.00000024822111e-10,0.011471805018,-0.005936658646815,-0.689669193013,-0.00539813852360168,2.34313727000489,-1.74215849827382,1.26053167903706e-10,NA,-0.0149994462429513,-1.7425046602383,-0.0136388298864529,1611377.9720636,-1198084.2374064,0.000412618741393089,19932.6282867648,-10315.1350759657,-1198322.29282112,-9379.43820869444
"40","GLYPHOSATE","SPAIN","90% drift - refined",0.6460690923,0.047657613018,0.0919558923948,0.000719751790559326,0.000791554541274,1.63234550044548,0.120410790578078,0.232333954648306,0.00181851076109293,0.00199992618313618,1122565.72241262,82806.6276867648,159776.30567155,1250.59176852223,1375.35134561372,0.787193904044633,-0.829732982955367,3.00000024822111e-10,0.011471805018,-0.007123990458726,-0.8276030316052,-0.00647776620944067,1.98890868261609,-2.09638708566262,1.26053167903706e-10,0.0289844379678367,-0.0179993355176556,-2.09100559221076,-0.0163665960280923,1367774.59888507,-1441687.61058493,0.000412618741393089,19932.6282867648,-12378.1620943863,-1437986.75132845,-11255.3258614778
"41","IMIDACLOPRID","BRAZIL","original method",36.69631272,91.6573067536415,0.836817811,5.977864697,0.677508791,0.284594919109867,0.683937891291588,0.00648986451473346,0.0463607865059519,0.00525435787045006,33753415.222075,82669133.487345,769708.36968213,5498463.8596568,623175.29621211,135.845810772641,135.845810772641,36.69631272,91.6573067536415,0.677508791,0.836817811,5.977864697,1.02663781929259,1.02663781929259,0.284594919109867,0.683937891291588,0.00525435787045006,0.00648986451473346,0.0463607865059519,123313896.234971,123313896.234971,33753415.222075,82669133.487345,623175.29621211,769708.36968213,5498463.8596568
"42","IMIDACLOPRID","BRAZIL","refined method - original",36.69631272,90.5599676299778,1.503068829,8.140226794,3.22024419,0.284594919109867,0.675749653625449,0.0116569137399167,0.0631307892908059,0.0249743112300169,33753415.222075,81679402.513526,1382528.72115408,7487413.1653759,2961993.4871599,140.119820162978,4.27400939033635,0,-1.09733912366364,2.542735399,0.666251018,2.162362097,1.06010658699606,0.0334687677034651,0,-0.00818823766613919,0.0197199533595669,0.00516704922518325,0.0167700027848539,127264753.109291,3950856.87431984,0,-989730.973819003,2338818.19094779,612820.35147195,1988949.3057191
"43","IMIDACLOPRID","BRAZIL","50% drift - refined",36.69631272,91.8830397135863,0.751534414360199,4.07011339602534,1.61012209475828,0.284594919028551,0.685622288632211,0.0058284568652436,0.0315653946274429,0.0124871556082546,33753415.2144139,82872730.4424487,691264.360247177,3743706.5809317,1480996.74277787,135.01112233873,-5.10869782424766,0,1.32307208360852,-1.61012209524172,-0.751534414639801,-4.07011339797466,1.0200982147617,-0.0400083722343527,-8.13161205037716e-11,0.00987263500676205,-0.0124871556217623,-0.00582845687467312,-0.031565394663363,122542113.340819,-4722639.76847155,-0.0076611340045929,1193327.92892271,-1480996.74438203,-691264.360906903,-3743706.58444421
"44","IMIDACLOPRID","BRAZIL","75% drift - refined",36.69631272,92.5445757622021,0.375767207180099,2.03505669801267,0.805061047379139,0.284594919028551,0.690558606162394,0.0029142284326218,0.0157826973137214,0.0062435778041273,33753415.2144139,83469394.4057415,345632.180123589,1871853.29046585,740498.371388934,132.456773434774,-7.6630467282038,0,1.98460813222428,-2.41518314262086,-1.1273016218199,-6.10517009598733,1.00009402874142,-0.0600125582546405,-8.13161205037716e-11,NA,-0.0187307334258896,-0.00874268530729492,-0.0473480919770844,120180793.462134,-7083959.64715716,-0.0076611340045929,1789991.89221549,-2221495.11577097,-1036896.54103049,-5615559.87491005
"45","IMIDACLOPRID","BRAZIL","90% drift - refined",36.69631272,92.5445757622021,0.15030688287204,0.814022679205068,0.322024418951656,0.284594919028551,0.690558606162394,0.00116569137304872,0.00631307892548857,0.00249743112165092,33753415.2144139,83469394.4057415,138252.872049435,748741.316186339,296199.348555573,130.527242463231,-9.59257769974695,0,1.98460813222428,-2.89821977104834,-1.35276194612796,-7.32620411479493,0.985129726611133,-0.0749768603849229,-8.13161205037716e-11,0.0148089525369447,-0.022476880108366,-0.010491222366868,-0.0568177103653173,118406003.156947,-8858749.95234416,-0.0076611340045929,1789991.89221549,-2665794.13860433,-1244275.84910464,-6738671.84918956
"46","LAMBDA-CYHALOTHRIN","BRAZIL","original method",55534.8180579579,1871.91705274496,36468.2737677515,122.543068525185,13.8873536655296,44.9327288277498,1.47805478541281,29.5071294282106,0.0991517779485877,0.0112365050477936,27959178121.7205,930545251.87124,18360354120.0347,61695657.614831,6991741.169168,94011.4393006451,94011.4393006451,55534.8180579579,1871.91705274496,13.8873536655296,36468.2737677515,122.543068525185,76.0283013243695,76.0283013243695,44.9327288277498,1.47805478541281,0.0112365050477936,29.5071294282106,0.0991517779485877,47318764892.4104,47318764892.4104,27959178121.7205,930545251.87124,6991741.169168,18360354120.0347,61695657.614831
"47","LAMBDA-CYHALOTHRIN","BRAZIL","refined method - original",55534.8180579579,1849.51958414244,65478.4052522859,166.806937406199,65.9824291454614,45.4382378097479,1.47346551033618,53.3830827654165,0.135993974059965,0.0537940022023655,28240940036.5755,926709799.17099,33191942794.2515,84556829.105634,33447439.7359565,123095.532260938,29084.0929602928,0,-22.3974686025217,52.0950754799318,29010.1314845344,44.2638688810133,100.484574061763,24.4562727373934,0.505508981998133,-0.00458927507663742,0.0425574971545719,23.8759533372059,0.0368421961113776,62477596898.8396,15158832006.4291,281761914.855,-3835452.70025003,26455698.5667885,14831588674.2168,22861171.490803
